Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,ID,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,
"cle-de-peau-beaute, hi","'Clé de Peau Beauté'","'Enriched with botanical oils that infuse lips with moisture to achieve a fuller pout, Clé de Peau Beauté’s Lip Glorifier is a must-have for any lipstick fiend. It’s well-known that if you apply lipstick daily, your lips are bound to suffer from dryness, but this product works to combat exactly that, while adding a subtle tint. Wear alone or over lipstick for a healthy glow.
'",Eslam Hosny M.,,"Lip Glorifier ","Beauty, Make-Up, Lips, Lip Glosses",TRUE,https://www.harrods.com/en-bd/shopping/cle-de-peau-beaute-lip-glorifier-15061811,Color,No Colour Available,Size,'OS',,,,,,,deny,manual,'41',,TRUE,TRUE,,https://image.harrods.com/15/06/18/11/15061811_25187781_2048.jpg,1,,FALSE,,,,,,,"Lip Glorifier ",,,FALSE,,,,,,https://image.harrods.com/15/06/18/11/15061811_25187781_2048.jpg,g,,,active,
"'cle-de-peau-beaute'",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://image.harrods.com/15/06/18/11/15061811_25187785_2048.jpg,2,,,,,,,,,,,,,,,,,,,g,,,,
"'cle-de-peau-beaute'",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://image.harrods.com/15/06/18/11/15061811_25187789_2048.jpg,3,,,,,,,,,,,,,,,,,,,g,,,,
"'evidens-de-beaute'","'EviDenS de Beauté'","'Inspired by the skin-nourishing benefits of Japanese skincare, EviDenS de Beauté endeavours to combine technical and artistic perfection in its highly researched formulations, of which evolved from the founder's muse: his wife Eriko Nakamura and her sensitive skin. The Nourishing Lip Treatment is a product of these inspirations with a concentrated formula infused with Lip Volumizer Complex, Tripe Collagen and medicinal Japanese oils, all renowned for their anti-ageing benefits and restorative properties.
'",Eslam Hosny M.,,"The Nourishing Lip Treatment","Beauty, Make-Up, Lips, Lip Care",TRUE,https://www.harrods.com/en-bd/shopping/evidens-de-beaute-the-nourishing-lip-treatment-15062295,Color,'No Colour',Size,,,,,,,,deny,manual,'51',,TRUE,TRUE,,https://image.harrods.com/15/06/22/95/15062295_27994553_2048.jpg,1,,FALSE,,,,,,,"The Nourishing Lip Treatment",,,FALSE,,,,,,https://image.harrods.com/15/06/22/95/15062295_27994553_2048.jpg,g,,,active,
"'evidens-de-beaute'",,,,,,,,,,'Pink',,,,,,,,,deny,manual,'51',,TRUE,TRUE,,https://image.harrods.com/15/06/22/95/15062295_27990941_2048.jpg,2,,,,,,,,,,,,,,,,,,,g,,,,
"'la-mer'","'La Mer'","'Legendary skincare experts, La Mer, introduce The Lip Balm, a velvety formula targeting dryness to restore moisture to pouts. The transformative treatment is perfect for wearing underneath your favourite lipstick to keep lips soothed and plumped.
'",Eslam Hosny M.,,"The Lip Balm","Beauty, Make-Up, Lips, Lip Care",TRUE,https://www.harrods.com/en-bd/shopping/la-mer-the-lip-balm-15067085,Color,No Colour Available,Size,,,,,,,,deny,manual,'56',,TRUE,TRUE,,https://image.harrods.com/15/06/70/85/15067085_25859099_2048.jpg,1,,FALSE,,,,,,,"The Lip Balm",,,FALSE,,,,,,https://image.harrods.com/15/06/70/85/15067085_25859099_2048.jpg,g,,,active,
,"'Sisley'","'Easy to apply, Phyto-Lèvres Perfect has a “moulded” texture that glides on smoothly to define the lip contour.  The high proportion of oils and waxes incorporated into the formula optimises its soft texture for comfort upon application, and intense pigmentation.
'",Eslam Hosny M.,,"Phyto-Lèvres Perfect","Beauty, Make-Up, Lips, Lip Liners",TRUE,https://www.harrods.com/en-bd/shopping/sisley-phyto-levres-perfect-15114163,Color,'Neutral',Size,'OS',,,,,,,,,'23',,,,,https://image.harrods.com/15/11/41/63/15114163_25792425_2048.jpg,1,,FALSE,,,,,,,"Phyto-Lèvres Perfect",,,FALSE,,,,,,https://image.harrods.com/15/11/41/63/15114163_25792425_2048.jpg,,,,active,
"'charlotte-tilbury'","'Charlotte Tilbury'","'Charlotte Tilbury’s Lip Cheat Pillow Talk lip liner is a rich, velvety pencil that glides effortlessly over lips, helping to re-shape, re-size or balance your pout’s appearance. Fill in the outline with your favourite shade from the brand’s K.I.S.S.I.N.G lipstick range and ensure your look stays in place from desk till dusk.
'",Eslam Hosny M.,,"Lip Cheat","Beauty, Make-Up, Lips, Lip Liners",TRUE,https://www.harrods.com/en-bd/shopping/charlotte-tilbury-lip-cheat-15114562,Color,No Colour Available,Size,'OS',,,,,,,deny,manual,'19',,TRUE,TRUE,,https://image.harrods.com/15/11/45/62/15114562_25796322_2048.jpg,1,,FALSE,,,,,,,"Lip Cheat",,,FALSE,,,,,,https://image.harrods.com/15/11/45/62/15114562_25796322_2048.jpg,g,,,active,
"'charlotte-tilbury'",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://image.harrods.com/15/11/45/62/15114562_25796326_2048.jpg,2,,,,,,,,,,,,,,,,,,,g,,,,
"'charlotte-tilbury'",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://image.harrods.com/15/11/45/62/15114562_25796329_2048.jpg,3,,,,,,,,,,,,,,,,,,,g,,,,
"'ysl'","'YSL'","'With a precision pencil tip to one end and a blending brush to the other, the YSL Dessin des Levres Lip Styler perfectly shapes and defines your lips, priming them to hold onto your chosen lip colour. The contemporary twist design includes a built-in sharpener and a flexible lip blenderfor achieving an airbrush-like finish.
'",Eslam Hosny M.,,"Dessin Des Lèvres Lip Styler","Beauty, Make-Up, Lips, Lipsticks",TRUE,https://www.harrods.com/en-bd/shopping/ysl-dessin-des-levres-lip-styler-15115007,Color,No Colour Available,Size,,,,,,,,deny,manual,'11',,TRUE,TRUE,,https://image.harrods.com/15/11/50/07/15115007_27018499_2048.jpg,1,,FALSE,,,,,,,"Dessin Des Lèvres Lip Styler",,,FALSE,,,,,,https://image.harrods.com/15/11/50/07/15115007_27018499_2048.jpg,g,,,active,
