Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,ID,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,
"self-portrait","Self-Portrait","Showcasing a demure and distinctly feminine design, this ruffled blouse by Self-Portrait possesses all the elegant charm the London-based label is renowned for. It’s defined by a square yoke that’s awash with frothy, flounced trims and lace embroidery for a look that feels reminiscent of the romantic, ladylike styles worn in the Victorian era. Pair simply with laid-back denim and flat shoes to balance its sweet, girlish charm.
",Eslam Hosny M.,,"Chiffon Ruffled Blouse","Women, Clothing, Tops, Blouses",TRUE,https://www.harrods.com/en-bd/shopping/self-portrait-chiffon-ruffled-blouse-17494176,Color,BLUE,Size,4,,,,,,,deny,manual,124,,TRUE,TRUE,,https://image.harrods.com/17/49/41/76/17494176_36761553_2048.jpg,1,,FALSE,,,,,,,"Chiffon Ruffled Blouse",,,FALSE,,,,,,https://image.harrods.com/17/49/41/76/17494176_36761553_2048.jpg,g,,,active,
"self-portrait",,,,,,,,,,BLUE,,6,,,,,,,deny,manual,124,,TRUE,TRUE,,https://image.harrods.com/17/49/41/76/17494176_36763025_2048.jpg,2,,,,,,,,,,,,,,,,,,,g,,,,
"self-portrait",,,,,,,,,,BLUE,,8,,,,,,,deny,manual,124,,TRUE,TRUE,,https://image.harrods.com/17/49/41/76/17494176_36763034_2048.jpg,3,,,,,,,,,,,,,,,,,,,g,,,,
"self-portrait",,,,,,,,,,BLUE,,10,,,,,,,deny,manual,124,,TRUE,TRUE,,https://image.harrods.com/17/49/41/76/17494176_36761575_2048.jpg,4,,,,,,,,,,,,,,,,,,,g,,,,
"self-portrait",,,,,,,,,,BLUE,,14,,,,,,,deny,manual,124,,TRUE,TRUE,,https://image.harrods.com/17/49/41/76/17494176_36761812_2048.jpg,5,,,,,,,,,,,,,,,,,,,g,,,,
"self-portrait",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://image.harrods.com/17/49/41/76/17494176_36763047_2048.jpg,6,,,,,,,,,,,,,,,,,,,g,,,,
"brunello-cucinelli","Brunello Cucinelli","At Brunello Cucinelli, fabric is key. For this denim shirt, that means beautifully soft cotton in a lightweight weave with a carefully placed wash, giving it that lived-in, effortless appearance with a much gentler texture than traditional denim. And because the Italian label has an eye for elevated details, it’s finished with mother-of-pearl press-stud fastenings and Brunello Cucinelli’s signature monili embellishment to the pocket.
 How to wear Harrods: Tuck into drawstring shorts and team with chunky Chelsea boots.
",Eslam Hosny M.,,"Lightweight Denim Shirt","Women, Clothing, Tops, Shirts",TRUE,https://www.harrods.com/en-bd/shopping/brunello-cucinelli-lightweight-denim-shirt-16986869,Color,GREY,Size,XXS,,,,,,,deny,manual,1064,,TRUE,TRUE,,https://image.harrods.com/16/98/68/69/16986869_37487915_2048.jpg,1,,FALSE,,,,,,,"Lightweight Denim Shirt",,,FALSE,,,,,,https://image.harrods.com/16/98/68/69/16986869_37487915_2048.jpg,g,,,active,
"brunello-cucinelli",,,,,,,,,,GREY,,XS,,,,,,,deny,manual,1064,,TRUE,TRUE,,https://image.harrods.com/16/98/68/69/16986869_37487921_2048.jpg,2,,,,,,,,,,,,,,,,,,,g,,,,
"brunello-cucinelli",,,,,,,,,,GREY,,S,,,,,,,deny,manual,1064,,TRUE,TRUE,,https://image.harrods.com/16/98/68/69/16986869_37487925_2048.jpg,3,,,,,,,,,,,,,,,,,,,g,,,,
"brunello-cucinelli",,,,,,,,,,GREY,,M,,,,,,,deny,manual,1064,,TRUE,TRUE,,https://image.harrods.com/16/98/68/69/16986869_37487927_2048.jpg,4,,,,,,,,,,,,,,,,,,,g,,,,
