Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,ID,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,
"8-by-yoox","8 by YOOX","These pants in solid-color leather feature a high-waisted silhouette and a slim fit. Made in Italy, they come complete with contrasting stitching along the leg seams and a zipper closure. The model is wearing an Italian size S/40",Eslam Hosny M.,,"Casual pants","HOME, Women, Pants, Casual pants, 8 by YOOX",TRUE,https://www.yoox.com/us/13655184OS/item#dept=clothingwomen&sts=SearchResult,Color,Lilac,Size,2,,,,,,,deny,manual,280,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/13/13655184OS_14_f.jpg,1,,FALSE,,,,,,,"Casual pants",,,FALSE,,,,,,https://cdn.yoox.biz//images/items/13/13655184OS_14_f.jpg,g,,,active,
"8-by-yoox",,,,,,,,,,Lilac,,4,,,,,,,deny,manual,280,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/13/13655184OS_14_r.jpg,2,,,,,,,,,,,,,,,,,,,g,,,,
"8-by-yoox",,,,,,,,,,Lilac,,6,,,,,,,deny,manual,280,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/13/13655184OS_14_d.jpg,3,,,,,,,,,,,,,,,,,,,g,,,,
"8-by-yoox",,,,,,,,,,Lilac,,8,,,,,,,deny,manual,280,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/13/13655184OS_14_e.jpg,4,,,,,,,,,,,,,,,,,,,g,,,,
"8-by-yoox",,,,,,,,,,Lilac,,10,,,,,,,deny,manual,280,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,,,
"marni","MARNI","knitted, no appliqués, medium-weight knit, round collar, multicolor pattern, long sleeves, no pockets, asymmetrical hemline",Eslam Hosny M.,,"Cashmere blend","HOME, Women, Sweaters and Sweatshirts, Cashmere blends, MARNI",TRUE,https://www.yoox.com/us/14106981FI/item#dept=clothingwomen&sts=SearchResult,Color,Yellow,Size,0,,,,,,,deny,manual,450,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/14/14106981FI_14_f.jpg,1,,FALSE,,,,,,,"Cashmere blend",,,FALSE,,,,,,https://cdn.yoox.biz//images/items/14/14106981FI_14_f.jpg,g,,,active,
"marni",,,,,,,,,,Yellow,,2,,,,,,,deny,manual,450,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/14/14106981FI_14_r.jpg,2,,,,,,,,,,,,,,,,,,,g,,,,
"marni",,,,,,,,,,Yellow,,4,,,,,,,deny,manual,450,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/14/14106981FI_14_d.jpg,3,,,,,,,,,,,,,,,,,,,g,,,,
"marni",,,,,,,,,,Yellow,,6,,,,,,,deny,manual,450,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/14/14106981FI_14_a.jpg,4,,,,,,,,,,,,,,,,,,,g,,,,
"marni",,,,,,,,,,Yellow,,8,,,,,,,deny,manual,450,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,,,
"off-white™","OFF-WHITE™","twill, brand logo, multicolor pattern, high waisted, belt loops, tapered leg, regular fit, hook-and-eye closure, zipper closure, multipockets, stretch",Eslam Hosny M.,,"Casual pants","HOME, Women, Pants, Casual pants, OFF-WHITE™",TRUE,https://www.yoox.com/us/13705656DV/item#dept=clothingwomen&sts=SearchResult,Color,Red,Size,0,,,,,,,deny,manual,541,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/13/13705656DV_14_f.jpg,1,,FALSE,,,,,,,"Casual pants",,,FALSE,,,,,,https://cdn.yoox.biz//images/items/13/13705656DV_14_f.jpg,g,,,active,
"off-white™",,,,,,,,,,Red,,2,,,,,,,deny,manual,541,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/13/13705656DV_14_r.jpg,2,,,,,,,,,,,,,,,,,,,g,,,,
"off-white™",,,,,,,,,,Red,,4,,,,,,,deny,manual,541,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/13/13705656DV_14_d.jpg,3,,,,,,,,,,,,,,,,,,,g,,,,
"off-white™",,,,,,,,,,Red,,6,,,,,,,deny,manual,541,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/13/13705656DV_14_a.jpg,4,,,,,,,,,,,,,,,,,,,g,,,,
"versace","VERSACE","knitted, lightweight knit, brooch, brand logo, two-tone, round collar, long sleeves, no pockets",Eslam Hosny M.,,"Sweater","HOME, Women, Sweaters and Sweatshirts, Sweaters, VERSACE",TRUE,https://www.yoox.com/us/14187307EL/item#dept=clothingwomen&sts=SearchResult,Color,Green,Size,2,,,,,,,deny,manual,463,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/14/14187307EL_14_f.jpg,1,,FALSE,,,,,,,"Sweater",,,FALSE,,,,,,https://cdn.yoox.biz//images/items/14/14187307EL_14_f.jpg,g,,,active,
"versace",,,,,,,,,,Green,,4,,,,,,,deny,manual,463,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/14/14187307EL_14_r.jpg,2,,,,,,,,,,,,,,,,,,,g,,,,
"versace",,,,,,,,,,Green,,8,,,,,,,deny,manual,463,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,,,
"alessandro-dellacqua","ALESSANDRO DELL'ACQUA","neoprene, rhinestones, beads, solid colour with appliqués, round collar, long sleeves, small sized",Eslam Hosny M.,,"Sweatshirt","HOME, Women, Sweaters and Sweatshirts, Sweatshirts, ALESSANDRO DELL'ACQUA",TRUE,https://www.yoox.com/us/12731194OS/item#dept=clothingwomen&sts=SearchResult,Color,Light grey,Size,4,,,,,,,deny,manual,167,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/12/12731194OS_14_f.jpg,1,,FALSE,,,,,,,"Sweatshirt",,,FALSE,,,,,,https://cdn.yoox.biz//images/items/12/12731194OS_14_f.jpg,g,,,active,
"alessandro-dellacqua",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/12/12731194OS_14_r.jpg,2,,,,,,,,,,,,,,,,,,,g,,,,
"alessandro-dellacqua",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/12/12731194OS_14_d.jpg,3,,,,,,,,,,,,,,,,,,,g,,,,
"alessandro-dellacqua",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/12/12731194OS_14_a.jpg,4,,,,,,,,,,,,,,,,,,,g,,,,
"stella-mccartney","STELLA McCARTNEY","denim, brand logo, solid color, light wash, button, zip, mid rise, front closure, multipockets, stretch, slim-leg pants, large sized",Eslam Hosny M.,,"Denim pants","HOME, Women, Jeans and Denim, Denim pants, STELLA McCARTNEY",TRUE,https://www.yoox.com/us/42729101DK/item#dept=clothingwomen&sts=SearchResult,Color,Blue,Size,25,,,,,,,deny,manual,140,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/42/42729101DK_14_f.jpg,1,,FALSE,,,,,,,"Denim pants",,,FALSE,,,,,,https://cdn.yoox.biz//images/items/42/42729101DK_14_f.jpg,g,,,active,
"stella-mccartney",,,,,,,,,,Blue,,26,,,,,,,deny,manual,140,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/42/42729101DK_14_r.jpg,2,,,,,,,,,,,,,,,,,,,g,,,,
